Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
1,04/07/2023,13:36,50,R,3,75,0.8,Off,50,5,198,757,559,0.738,2.823,20
2,04/07/2023,13:37,50,R,5,75,0.8,Off,50,5,278,925,647,0.699,2.327,20
3,04/07/2023,13:38,50,R,5,75,0.8,Off,50,5,243,838,595,0.71,2.448,20
4,04/07/2023,13:38,50,R,5,75,0.8,Off,50,5,244,863,619,0.717,2.536,20
5,04/07/2023,13:39,50,R,5,75,0.8,Off,50,5,261,897,636,0.709,2.436,20
6,04/07/2023,13:39,50,R,5,75,0.8,Off,50,5,228,775,547,0.705,2.399,20
7,04/07/2023,13:41,50,R,4,75,0.8,Off,50,5,191,657,466,0.709,2.439,20
8,04/07/2023,13:41,50,R,4,75,0.8,Off,50,5,209,713,504,0.706,2.411,20
1,04/07/2023,13:42,50,R,4,75,0.8,Off,50,5,207,752,545,0.724,2.632,37
2,04/07/2023,13:43,50,R,4,75,0.8,Off,50,5,272,853,581,0.681,2.136,37
3,04/07/2023,13:43,50,R,4,75,0.8,Off,50,5,243,774,531,0.686,2.185,37
4,04/07/2023,13:43,50,R,4,75,0.8,Off,50,5,236,901,665,0.738,2.817,37
5,04/07/2023,13:44,50,R,4,75,0.8,Off,50,5,225,791,566,0.715,2.515,37
6,04/07/2023,13:44,50,R,4,75,0.8,Off,50,5,221,807,586,0.726,2.651,37
7,04/07/2023,13:45,50,R,4,75,0.8,Off,50,5,236,792,556,0.702,2.355,37
8,04/07/2023,13:45,50,R,4,75,0.8,Off,50,5,228,830,602,0.725,2.64,37
1,04/07/2023,13:45,50,R,4,75,0.8,Off,50,5,265,782,517,0.661,1.95,41
2,04/07/2023,13:46,50,R,4,75,0.8,Off,50,5,255,839,584,0.696,2.29,41
3,04/07/2023,13:46,50,R,4,75,0.8,Off,50,5,200,729,529,0.725,2.645,41
4,04/07/2023,13:46,50,R,4,75,0.8,Off,50,5,184,677,493,0.728,2.679,41
5,04/07/2023,13:47,50,R,4,75,0.8,Off,50,5,226,796,570,0.716,2.522,41
6,04/07/2023,13:47,50,R,4,75,0.8,Off,50,5,206,764,558,0.73,2.708,41
7,04/07/2023,13:47,50,R,4,75,0.8,Off,50,5,221,767,546,0.711,2.47,41
8,04/07/2023,13:48,50,R,4,75,0.8,Off,50,5,221,868,647,0.745,2.927,41
1,04/07/2023,13:48,50,R,4,75,0.8,Off,50,5,222,790,568,0.718,2.558,44
2,04/07/2023,13:49,50,R,4,75,0.8,Off,50,5,221,637,416,0.653,1.882,44
3,04/07/2023,13:49,50,R,4,75,0.8,Off,50,5,230,811,581,0.716,2.526,44
4,04/07/2023,13:49,50,R,4,75,0.8,Off,50,5,194,539,345,0.64,1.778,44
5,04/07/2023,13:50,50,R,4,75,0.8,Off,50,5,241,879,638,0.725,2.647,44
6,04/07/2023,13:50,50,R,4,75,0.8,Off,50,5,188,666,478,0.717,2.542,44
7,04/07/2023,13:50,50,R,4,75,0.8,Off,50,5,254,702,448,0.638,1.763,44
8,04/07/2023,13:51,50,R,4,75,0.8,Off,50,5,215,802,587,0.731,2.73,44
1,04/07/2023,13:51,50,R,4,75,0.8,Off,50,5,218,683,465,0.68,2.133,47
2,04/07/2023,13:51,50,R,4,75,0.8,Off,50,5,227,445,218,0.489,0.96,47
3,04/07/2023,13:52,50,R,4,75,0.8,Off,50,5,248,863,615,0.712,2.479,47
4,04/07/2023,13:52,50,R,4,75,0.8,Off,50,5,224,758,534,0.704,2.383,47
5,04/07/2023,13:52,50,R,5,75,0.8,Off,50,5,220,416,196,0.471,0.89,47
6,04/07/2023,13:53,50,R,5,75,0.8,Off,50,5,217,280,63,0.225,0.29,47
7,04/07/2023,13:54,50,R,5,75,0.8,Off,50,5,239,482,243,0.504,1.016,47
8,04/07/2023,13:54,50,R,5,75,0.8,Off,50,5,255,456,201,0.44,0.788,47
1,04/07/2023,13:54,50,R,4,75,0.8,Off,50,5,212,290,78,0.268,0.367,50
2,04/07/2023,13:55,50,R,4,75,0.8,Off,50,5,254,342,88,0.257,0.346,50
3,04/07/2023,13:55,50,R,4,75,0.8,Off,50,5,250,282,32,0.113,0.128,50
