Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
1,13/07/2023,11:23,50,R,5,75,0.8,Off,50,5,228,585,357,0.61,1.565,20
2,13/07/2023,11:24,50,R,5,75,0.8,Off,50,5,258,656,398,0.606,1.542,20
3,13/07/2023,11:24,50,R,3,75,0.8,Off,50,5,220,527,307,0.582,1.395,20
4,13/07/2023,11:24,50,R,5,75,0.8,Off,50,5,253,591,338,0.571,1.335,20
5,13/07/2023,11:25,50,R,5,75,0.8,Off,50,5,202,602,400,0.664,1.98,20
6,13/07/2023,11:25,50,R,5,75,0.8,Off,50,5,205,506,301,0.594,1.468,20
7,13/07/2023,11:25,50,R,5,75,0.8,Off,50,5,252,777,525,0.675,2.083,20
8,13/07/2023,11:26,50,R,5,75,0.8,Off,50,5,282,619,337,0.544,1.195,20
1,13/07/2023,12:13,50,R,5,75,0.8,Off,50,5,255,656,401,0.611,1.572,37
2,13/07/2023,12:13,50,R,3,75,0.8,Off,50,5,244,638,394,0.617,1.614,37
3,13/07/2023,12:13,50,R,3,75,0.8,Off,50,5,218,479,261,0.544,1.197,37
4,13/07/2023,12:14,50,R,3,75,0.8,Off,50,5,265,530,265,0.5,1,37
5,13/07/2023,12:14,50,R,3,75,0.8,Off,50,5,230,535,305,0.57,1.326,37
6,13/07/2023,12:14,50,R,4,75,0.8,Off,50,5,233,517,284,0.549,1.218,37
7,13/07/2023,12:15,50,R,6,75,0.8,Off,50,5,225,616,391,0.634,1.737,37
8,13/07/2023,12:15,50,R,6,75,0.8,Off,50,5,222,496,274,0.552,1.234,37
1,13/07/2023,12:43,50,R,5,75,0.8,Off,50,5,220,458,238,0.519,1.081,41
2,13/07/2023,12:43,50,R,3,75,0.8,Off,50,5,220,509,289,0.567,1.313,41
3,13/07/2023,12:44,50,R,3,75,0.8,Off,50,5,252,477,225,0.471,0.892,41
4,13/07/2023,12:44,50,R,4,75,0.8,Off,50,5,245,441,196,0.444,0.8,41
5,13/07/2023,12:44,50,R,4,75,0.8,Off,50,5,204,421,217,0.515,1.063,41
6,13/07/2023,12:45,50,R,3,75,0.8,Off,50,5,235,397,162,0.408,0.689,41
7,13/07/2023,12:45,50,R,3,75,0.8,Off,50,5,222,443,221,0.498,0.995,41
8,13/07/2023,12:45,50,R,3,75,0.8,Off,50,5,192,347,155,0.446,0.807,41
1,13/07/2023,13:12,50,R,4,75,0.8,Off,50,5,201,352,151,0.428,0.751,45
2,13/07/2023,13:12,50,R,3,75,0.8,Off,50,5,218,406,188,0.463,0.862,45
3,13/07/2023,13:13,50,R,3,75,0.8,Off,50,5,255,362,107,0.295,0.419,45
4,13/07/2023,13:13,50,R,5,75,0.8,Off,50,5,205,379,174,0.459,0.848,45
5,13/07/2023,13:14,50,R,5,75,0.8,Off,50,5,242,406,164,0.403,0.677,45
6,13/07/2023,13:14,50,R,5,75,0.8,Off,50,5,240,424,184,0.433,0.766,45
7,13/07/2023,13:15,50,R,5,75,0.8,Off,50,5,256,482,226,0.468,0.882,45
8,13/07/2023,13:15,50,R,5,75,0.8,Off,50,5,216,295,79,0.267,0.365,45
1,13/07/2023,13:46,50,R,3,75,0.8,Off,50,5,252,351,99,0.282,0.392,49
2,13/07/2023,13:46,50,R,3,75,0.8,Off,50,5,201,328,127,0.387,0.631,49
3,13/07/2023,13:47,50,R,2,75,0.8,Off,50,5,268,395,127,0.321,0.473,49
4,13/07/2023,13:47,50,R,2,75,0.8,Off,50,5,254,273,19,0.069,0.074,49
5,13/07/2023,13:48,50,R,3,75,0.8,Off,50,5,206,284,78,0.274,0.378,49
6,13/07/2023,13:48,50,R,3,75,0.8,Off,50,5,275,469,194,0.413,0.705,49
7,13/07/2023,13:49,50,R,3,75,0.8,Off,50,5,248,361,113,0.313,0.455,49
8,13/07/2023,13:49,50,R,3,75,0.8,Off,50,5,248,343,95,0.276,0.383,49
1,13/07/2023,14:19,50,R,2,75,0.8,Off,50,5,312,312,0,0,0,53
2,13/07/2023,14:20,50,R,2,75,0.8,Off,50,5,260,270,10,0.037,0.038,53
3,13/07/2023,14:20,50,R,2,75,0.8,Off,50,5,328,344,16,0.046,0.048,53
4,13/07/2023,14:20,50,R,2,75,0.8,Off,50,5,314,325,11,0.033,0.035,53
5,13/07/2023,14:21,50,R,2,75,0.8,Off,50,5,401,401,0,0,0,53
6,13/07/2023,14:21,50,R,2,75,0.8,Off,50,5,330,331,1,0.003,0.003,53
7,13/07/2023,14:21,50,R,2,75,0.8,Off,50,5,304,304,0,0,0,53
8,13/07/2023,14:22,50,R,2,75,0.8,Off,50,5,302,323,21,0.065,0.069,53
1,13/07/2023,14:49,50,R,2,75,0.8,Off,50,5,361,361,0,0,0,57
2,13/07/2023,14:49,50,R,2,75,0.8,Off,50,5,298,298,0,0,0,57
3,13/07/2023,14:50,50,R,2,75,0.8,Off,50,5,279,279,0,0,0,57
4,13/07/2023,14:50,50,R,2,75,0.8,Off,50,5,364,364,0,0,0,57
5,13/07/2023,14:50,50,R,2,75,0.8,Off,50,5,287,287,0,0,0,57
6,13/07/2023,14:50,50,R,2,75,0.8,Off,50,5,288,288,0,0,0,57
7,13/07/2023,14:51,50,R,2,75,0.8,Off,50,5,283,283,0,0,0,57
8,13/07/2023,14:51,50,R,2,75,0.8,Off,50,5,300,300,0,0,0,57
1,13/07/2023,15:11,50,R,2,75,0.8,Off,50,5,277,277,0,0,0,60
2,13/07/2023,15:11,50,R,2,75,0.8,Off,50,5,250,250,0,0,0,60
3,13/07/2023,15:11,50,R,2,75,0.8,Off,50,5,301,301,0,0,0,60
4,13/07/2023,15:11,50,R,2,75,0.8,Off,50,5,276,276,0,0,0,60
5,13/07/2023,15:12,50,R,2,75,0.8,Off,50,5,370,370,0,0,0,60
6,13/07/2023,15:12,50,R,2,75,0.8,Off,50,5,325,325,0,0,0,60
7,13/07/2023,15:12,50,R,2,75,0.8,Off,50,5,279,279,0,0,0,60
8,13/07/2023,15:13,50,R,2,75,0.8,Off,50,5,256,256,0,0,0,60
