Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
1,14/07/2023,14:03,50,R,6,75,0.8,Off,50,5,200,807,607,0.752,3.035,20
2,14/07/2023,14:04,50,R,6,75,0.8,Off,50,5,253,972,719,0.739,2.841,20
3,14/07/2023,14:04,50,R,4,75,0.8,Off,50,5,216,809,593,0.733,2.745,20
4,14/07/2023,14:05,50,R,4,75,0.8,Off,50,5,213,804,591,0.735,2.774,20
5,14/07/2023,14:05,50,R,4,75,0.8,Off,50,5,185,697,512,0.734,2.767,20
6,14/07/2023,14:05,50,R,4,75,0.8,Off,50,5,193,700,507,0.724,2.626,20
7,14/07/2023,14:06,50,R,4,75,0.8,Off,50,5,214,792,578,0.729,2.7,20
8,14/07/2023,14:06,50,R,4,75,0.8,Off,50,5,214,792,578,0.729,2.7,20
1,14/07/2023,14:06,50,R,4,75,0.8,Off,50,5,228,817,589,0.72,2.583,37
2,14/07/2023,14:07,50,R,4,75,0.8,Off,50,5,189,748,559,0.747,2.957,37
3,14/07/2023,14:07,50,R,4,75,0.8,Off,50,5,223,819,596,0.727,2.672,37
4,14/07/2023,14:07,50,R,4,75,0.8,Off,50,5,194,777,583,0.75,3.005,37
5,14/07/2023,14:07,50,R,4,75,0.8,Off,50,5,228,828,600,0.724,2.631,37
6,14/07/2023,14:08,50,R,3,75,0.8,Off,50,5,209,798,589,0.738,2.818,37
7,14/07/2023,14:08,50,R,5,75,0.8,Off,50,5,252,660,408,0.618,1.619,37
8,14/07/2023,14:09,50,R,5,75,0.8,Off,50,5,205,798,593,0.743,2.892,37
1,14/07/2023,14:09,50,R,5,75,0.8,Off,50,5,196,718,522,0.727,2.663,41
2,14/07/2023,14:10,50,R,5,75,0.8,Off,50,5,214,770,556,0.722,2.598,41
3,14/07/2023,14:10,50,R,5,75,0.8,Off,50,5,198,688,490,0.712,2.474,41
4,14/07/2023,14:10,50,R,5,75,0.8,Off,50,5,185,690,505,0.731,2.729,41
5,14/07/2023,14:10,50,R,5,75,0.8,Off,50,5,226,835,609,0.729,2.694,41
6,14/07/2023,14:11,50,R,3,75,0.8,Off,50,5,206,753,547,0.726,2.655,41
7,14/07/2023,14:11,50,R,5,75,0.8,Off,50,5,209,598,389,0.65,1.861,41
8,14/07/2023,14:12,50,R,5,75,0.8,Off,50,5,226,836,610,0.729,2.699,41
1,14/07/2023,14:12,50,R,5,75,0.8,Off,50,5,223,763,540,0.707,2.421,45
2,14/07/2023,14:12,50,R,5,75,0.8,Off,50,5,201,671,470,0.7,2.338,45
3,14/07/2023,14:13,50,R,5,75,0.8,Off,50,5,241,811,570,0.702,2.365,45
4,14/07/2023,14:13,50,R,5,75,0.8,Off,50,5,204,425,221,0.52,1.083,45
5,14/07/2023,14:13,50,R,5,75,0.8,Off,50,5,199,363,164,0.451,0.824,45
6,14/07/2023,14:14,50,R,4,75,0.8,Off,50,5,247,765,518,0.677,2.097,45
7,14/07/2023,14:14,50,R,4,75,0.8,Off,50,5,213,631,418,0.662,1.962,45
8,14/07/2023,14:14,50,R,4,75,0.8,Off,50,5,191,623,432,0.693,2.261,45
1,14/07/2023,14:15,50,R,4,75,0.8,Off,50,5,188,557,369,0.662,1.962,49
2,14/07/2023,14:15,50,R,5,75,0.8,Off,50,5,193,232,39,0.168,0.202,49
3,14/07/2023,14:16,50,R,4,75,0.8,Off,50,5,235,318,83,0.261,0.353,49
4,14/07/2023,14:16,50,R,4,75,0.8,Off,50,5,262,327,65,0.198,0.248,49
5,14/07/2023,14:16,50,R,4,75,0.8,Off,50,5,266,276,10,0.036,0.037,49
6,14/07/2023,14:17,50,R,3,75,0.8,Off,50,5,243,308,65,0.211,0.267,49
7,14/07/2023,14:17,50,R,3,75,0.8,Off,50,5,263,336,73,0.217,0.277,49
8,14/07/2023,14:17,50,R,3,75,0.8,Off,50,5,202,265,63,0.237,0.311,49
1,14/07/2023,14:18,50,R,3,75,0.8,Off,50,5,192,231,39,0.168,0.203,53
2,14/07/2023,14:18,50,R,3,75,0.8,Off,50,5,237,237,0,0,0,53
3,14/07/2023,14:19,50,R,3,75,0.8,Off,50,5,208,208,0,0,0,53
4,14/07/2023,14:19,50,R,3,75,0.8,Off,50,5,220,221,1,0.004,0.004,53
5,14/07/2023,14:19,50,R,3,75,0.8,Off,50,5,230,231,1,0.004,0.004,53
6,14/07/2023,14:20,50,R,3,75,0.8,Off,50,5,237,238,1,0.004,0.004,53
7,14/07/2023,14:20,50,R,3,75,0.8,Off,50,5,230,230,0,0,0,53
8,14/07/2023,14:20,50,R,3,75,0.8,Off,50,5,231,231,0,0,0,53
1,14/07/2023,14:20,50,R,3,75,0.8,Off,50,5,209,209,0,0,0,57
2,14/07/2023,14:21,50,R,3,75,0.8,Off,50,5,266,266,0,0,0,57
3,14/07/2023,14:22,50,R,3,75,0.8,Off,50,5,268,268,0,0,0,57
4,14/07/2023,14:22,50,R,3,75,0.8,Off,50,5,227,227,0,0,0,57
5,14/07/2023,14:23,50,R,3,75,0.8,Off,50,5,285,285,0,0,0,57
6,14/07/2023,14:23,50,R,3,75,0.8,Off,50,5,262,262,0,0,0,57
