Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
1,23/07/2023,12:01,50,R,3,75,0.8,Off,50,5,216,467,251,0.537,1.162,20
2,23/07/2023,12:01,50,R,3,75,0.8,Off,50,5,180,263,83,0.315,0.461,20
3,23/07/2023,12:02,50,R,3,75,0.8,Off,50,5,218,400,182,0.455,0.834,20
4,23/07/2023,12:02,50,R,4,75,0.8,Off,50,5,183,566,383,0.676,2.092,20
5,23/07/2023,12:03,50,R,4,75,0.8,Off,50,5,231,721,490,0.679,2.121,20
6,23/07/2023,12:03,50,R,5,75,0.8,Off,50,5,246,695,449,0.646,1.825,20
7,23/07/2023,12:04,50,R,5,75,0.8,Off,50,5,251,714,463,0.648,1.844,20
8,23/07/2023,12:04,50,R,5,75,0.8,Off,50,5,195,330,135,0.409,0.692,37
1,23/07/2023,12:30,50,R,5,75,0.8,Off,50,5,207,508,301,0.592,1.454,37
2,23/07/2023,12:30,50,R,4,75,0.8,Off,50,5,232,352,120,0.34,0.517,37
3,23/07/2023,12:31,50,R,5,75,0.8,Off,50,5,259,469,210,0.447,0.81,37
4,23/07/2023,12:32,50,R,4,75,0.8,Off,50,5,217,667,450,0.674,2.073,37
5,23/07/2023,12:32,50,R,4,75,0.8,Off,50,5,254,474,220,0.464,0.866,37
6,23/07/2023,12:33,50,R,9,75,0.8,Off,50,5,213,467,254,0.543,1.192,37
7,23/07/2023,12:33,50,R,4,75,0.8,Off,50,5,225,664,439,0.661,1.951,37
8,23/07/2023,12:34,50,R,4,75,0.8,Off,50,5,237,428,191,0.446,0.805,41
1,23/07/2023,13:00,50,R,4,75,0.8,Off,50,5,237,414,177,0.427,0.746,41
2,23/07/2023,13:00,50,R,4,75,0.8,Off,50,5,250,388,138,0.355,0.552,41
3,23/07/2023,13:01,50,R,4,75,0.8,Off,50,5,206,380,174,0.457,0.844,41
4,23/07/2023,13:02,50,R,6,75,0.8,Off,50,5,201,463,262,0.565,1.303,41
5,23/07/2023,13:02,50,R,4,75,0.8,Off,50,5,214,460,246,0.534,1.149,41
6,23/07/2023,13:03,50,R,4,75,0.8,Off,50,5,222,395,173,0.437,0.779,41
7,23/07/2023,13:03,50,R,4,75,0.8,Off,50,5,197,435,238,0.547,1.208,41
8,23/07/2023,13:04,50,R,4,75,0.8,Off,50,5,232,428,196,0.457,0.844,41
1,23/07/2023,13:31,50,R,7,75,0.8,Off,50,5,241,486,245,0.504,1.016,45
2,23/07/2023,13:32,50,R,4,75,0.8,Off,50,5,215,299,84,0.28,0.39,45
3,23/07/2023,13:33,50,R,4,75,0.8,Off,50,5,199,316,117,0.37,0.587,45
4,23/07/2023,13:33,50,R,5,75,0.8,Off,50,5,218,355,137,0.385,0.628,45
5,23/07/2023,13:34,50,R,5,75,0.8,Off,50,5,225,273,48,0.175,0.213,45
